Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
2259,,"N134_03 Ivaň BO, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Ivaň BO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2260,,"N135_01 Ivaň BO, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Ivaň BO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2261,,"N135_02 Žarošice HO, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Žarošice HO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2262,,"N135_03 Jezeřany-Maršovice ZN, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Jezeřany-Maršovice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2263,,"N136_01 Jezeřany-Maršovice ZN, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Jezeřany-Maršovice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2264,,"N136_02 Jezeřany-Maršovice ZN, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Jezeřany-Maršovice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2265,,"N136_03 Kobylí BV, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Kobylí BV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2266,,"N137_01 Kobylí BV, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Kobylí BV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2267,,"N137_02 Krzanowice POLSKO, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,,Krzanowice POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2268,,"N137_03 Syrovice BO, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Syrovice BO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2269,,"N138_01 Syrovice BO, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Syrovice BO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2270,,"N138_02 Pietrowice Wielkie POLSKO, 1966. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1966,1966,,Pietrowice Wielkie POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2271,,"N139_01 Pietrowice Wielkie POLSKO, 1966. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1966,1966,,Pietrowice Wielkie POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2272,,"N139_02 Pietrowice Wielkie POLSKO, 1966. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1966,1966,,Pietrowice Wielkie POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2273,,"N140_01 Pietrowice Wielkie POLSKO, 1966. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1966,1966,,Pietrowice Wielkie POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2274,,"N140_02 Branice POLSKO, 1965. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1965,1965,,Branice POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2275,,"N141_01 Branice POLSKO, 1965. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1965,1965,,Branice POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2276,,"N142_01 Branice POLSKO, 1965. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1965,1965,,Branice POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2277,,"N143_01 Branice POLSKO, 1965. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1965,1965,,Branice POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2278,,"N143_01 Krzanowice POLSKO, 1966. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1966,1966,,Krzanowice POLSKO,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2279,,"N144_01 Třinec FM (Oldřichovice), 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Třinec FM (Oldřichovice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2280,,"N144_02 Nýdek FM, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Nýdek FM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2281,,"N145_01 Nýdek FM, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Nýdek FM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2282,,"N145_02 Staříč FM, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Staříč FM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2283,,"N145_03 Ostrava OV (Hošťálkovice), 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Ostrava OV (Hošťálkovice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2284,,"N145_04 Morávka FM, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Morávka FM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2285,,"N146_01 Čeladná FM, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Čeladná FM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2286,,"N146_02 Čeladná FM, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Čeladná FM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2287,,"N146_03 Sedliště FM, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Sedliště FM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2288,,"N146_04 Bohuslavice OP, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Bohuslavice OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2289,,"N146_05 Bohuslavice OP, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Bohuslavice OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2290,,"N147_01 Brno BM (Ořešín), 1962. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1962,1962,Brno BM (Ořešín),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2291,,"N147_02 Chudčice BO, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Chudčice BO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2292,,"N148_01 Chudčice BO, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Chudčice BO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2293,,"N148_02 Chudčice BO, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Chudčice BO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2294,,"N148_03 Hodějice VY, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Hodějice VY,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2295,,"N149_01 Hodějice VY, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Hodějice VY,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2296,,"N149_02 Olbramkostel ZN, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Olbramkostel ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2297,,"N150_01 Olbramkostel ZN, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Olbramkostel ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2298,,"N150_02 Krásněves ZR, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Krásněves ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2299,,"N150_03 Chromeč SU, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Chromeč SU,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2300,,"N151_01 Chromeč SU, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Chromeč SU,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2301,,"N151_02 Žarošice HO, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Žarošice HO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2302,,"N151_03 Velká Bíteš ZR (Holubí Zhoř), 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Velká Bíteš ZR (Holubí Zhoř),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2303,,"N152_01 Velká Bíteš ZR (Holubí Zhoř), 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Velká Bíteš ZR (Holubí Zhoř),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2304,,"N152_02 Cidlina TR, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Cidlina TR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2305,,"N152_03 Cidlina TR, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Cidlina TR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2306,,"N153_01 Morašice ZN, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Morašice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2307,,"N153_02 Slatina ZN, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Slatina ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2308,,"N154_01 Slatina ZN, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Slatina ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2309,,"N154_02 Bohdalov ZR, 1969. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1969,1969,Bohdalov ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2310,,"N155_01 Bohdalov ZR, 1969. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1969,1969,Bohdalov ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2311,,"N155_02 Pavlínov ZR, 1969. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1969,1969,Pavlínov ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2312,,"N156_01 Pavlínov ZR, 1969. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1969,1969,Pavlínov ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2313,,"N156_02 Hvězdlice VY (Staré Hvězdlice), 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Hvězdlice VY (Staré Hvězdlice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2314,,"N157_01 Hvězdlice VY (Staré Hvězdlice), 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Hvězdlice VY (Staré Hvězdlice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2315,,"N157_02 Bobrůvka ZR, 1969. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1969,1969,Bobrůvka ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2316,,"N157_03 Ostrava OV (Hošťálkovice), [1968]. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,[1968],[1968],Ostrava OV (Hošťálkovice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2317,,"N158_01 Ostrava OV (Hošťálkovice), [1968]. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,[1968],[1968],Ostrava OV (Hošťálkovice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2318,,"N158_02 Hať OP, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Hať OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2319,,"N159_01 Hať OP, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Hať OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2320,,"N160_01 Hať OP, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Hať OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2321,,"N160_02 Rouchovany TR (Šemíkovice), 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Rouchovany TR (Šemíkovice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2322,,"N161_01 Rouchovany TR (Šemíkovice), 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Rouchovany TR (Šemíkovice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2323,,"N161_02 Děhylov OP, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Děhylov OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2324,,"N162_01 Děhylov OP, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Děhylov OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2325,,"N162_02 Rešice ZN, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Rešice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2326,,"N163_01 Rešice ZN, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Rešice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2327,,"N163_02 Kvasice KM, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Kvasice KM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2328,,"N164_01 Kvasice KM, 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Kvasice KM,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2329,,"N164_02 Rataje KM (Popovice), 1967. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1967,1967,Rataje KM (Popovice),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2330,,"N165_01 Moravský Krumlov ZN, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Moravský Krumlov ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2331,,"N165_02 Moravský Krumlov ZN, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Moravský Krumlov ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2332,,"N166_01 Moravský Krumlov ZN, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Moravský Krumlov ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2333,,"N166_02 Moravský Krumlov ZN, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Moravský Krumlov ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2334,,"N166_03 Prostějov PV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Prostějov PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2335,,"N167_01 Prostějov PV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Prostějov PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2336,,"N167_02 Prostějov PV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Prostějov PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2337,,"N167_03 Břeclav BV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Břeclav BV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2338,,"N168_01 Břeclav BV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Břeclav BV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2339,,"N168_02 Břeclav BV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Břeclav BV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2340,,"N168_03 Znojmo ZN, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Znojmo ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2341,,"N169_01 Znojmo ZN, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Znojmo ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2342,,"N169_02 Opava OP, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Opava OP,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2343,,"N169_03 Uherský Brod UH, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Uherský Brod UH,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2344,,"N170_01 Tvorovice PV, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Tvorovice PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2345,,"N170_02 Tvorovice PV, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Tvorovice PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2346,,"N170_03 Ohrozim PV, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Ohrozim PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2347,,"N171_01 Ohrozim PV, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Ohrozim PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2348,,"N171_02 Ohrozim PV, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Ohrozim PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2349,,"N171_03 Pěnčín PV, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Pěnčín PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2350,,"N172_01 Pěnčín PV, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Pěnčín PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2351,,"N172_02 Charváty OL, 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Charváty OL,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2352,,"N173_01 Charváty OL, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Charváty OL,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2353,,"N173_02 Oslnovice ZN, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Oslnovice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2354,,"N174_01 Oslnovice ZN, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Oslnovice ZN,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2355,,"N174_02 Lipník nad Bečvou PR, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Lipník nad Bečvou PR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2356,,"N175_01 Lipník nad Bečvou PR, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Lipník nad Bečvou PR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2357,,"N175_02 Ostrava OV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Ostrava OV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2358,,"N176_01 Ostrava OV, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Ostrava OV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2359,,"N176_02 Český Těšín KA, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Český Těšín KA,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2360,,"N177_01 Český Těšín KA, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Český Těšín KA,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2361,,"N178_01 Nové Syrovice TR, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Nové Syrovice TR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2362,,"N179_01 Nové Syrovice TR, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Nové Syrovice TR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2363,,"N179_02 Nové Syrovice TR, 1968. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1968,1968,Nové Syrovice TR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2364,,"N180_01 Jimramov ZR (Ubušín), 1972. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1972,1972,Jimramov ZR (Ubušín),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2365,,"N180_02 Nové Město na Moravě ZR, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Nové Město na Moravě ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2366,,"N181_01 Nové Město na Moravě ZR, 1973. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1973,1973,Nové Město na Moravě ZR,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2367,,"N181_02 Hladov JI, 1970. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1970,1970,Hladov JI,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2368,,"N182_01 Hladov JI, 1970. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1970,1970,Hladov JI,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2369,,"N182_02 Vřesovice HO, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Vřesovice HO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2370,,"N183_01 Vřesovice HO, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Vřesovice HO,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2371,,"N183_02 Boršice u Blatnice UH, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Boršice u Blatnice UH,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2372,,"N184_01 Boršice u Blatnice UH, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Boršice u Blatnice UH,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2373,,"N184_02 Boršice u Blatnice UH, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Boršice u Blatnice UH,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2374,,"N185_01 Hvozd PV, 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Hvozd PV,,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2375,,"N185_02 Hvozd PV (Otročkov), 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Hvozd PV (Otročkov),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
2376,,"N186_01 Hvozd PV (Otročkov), 1971. Archiv zvukových záznamů nářečních promluv.",,Přepis nahrávky,1971,1971,Hvozd PV (Otročkov),,"Brno: dialektologické oddělení Ústavu pro jazyk český AV ČR, v. v. i.",Audio
